song,artist,album_release_date,release_year,release_decade,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
Best of My Love,The Emotions,1977-06-10,1977,70,2M2WJ7gBlcKNxdhyfPp9zY,0.784,0.713,0,-6.865,1,0.0339,0.447,0.14,0.0904,0.97,115.443,audio_features,spotify:track:2M2WJ7gBlcKNxdhyfPp9zY,https://api.spotify.com/v1/tracks/2M2WJ7gBlcKNxdhyfPp9zY,https://api.spotify.com/v1/audio-analysis/2M2WJ7gBlcKNxdhyfPp9zY,220560,4
Celebrity Skin,Hole,1998-01-01,1998,90,2V4Bc2I962j7acQj1N0PiQ,0.438,0.905,9,-6.161,1,0.0419,9.44e-06,5.4e-05,0.363,0.723,134.163,audio_features,spotify:track:2V4Bc2I962j7acQj1N0PiQ,https://api.spotify.com/v1/tracks/2V4Bc2I962j7acQj1N0PiQ,https://api.spotify.com/v1/audio-analysis/2V4Bc2I962j7acQj1N0PiQ,162667,4
Pound the Alarm,Nicki Minaj,2011-01-01,2011,10,0LohatbcUXRauoeMlR1jnS,0.728,0.858,9,-3.686,1,0.0609,0.0403,4.26e-06,0.0241,0.591,125.054,audio_features,spotify:track:0LohatbcUXRauoeMlR1jnS,https://api.spotify.com/v1/tracks/0LohatbcUXRauoeMlR1jnS,https://api.spotify.com/v1/audio-analysis/0LohatbcUXRauoeMlR1jnS,205640,4
Man! I Feel Like a Woman!,Shania Twain,1997-11-04,1997,90,0T1iRhYeTh5JpVdM2TI6kO,0.779,0.727,10,-2.946,0,0.23,0.0211,2.78e-06,0.291,0.668,101.251,audio_features,spotify:track:0T1iRhYeTh5JpVdM2TI6kO,https://api.spotify.com/v1/tracks/0T1iRhYeTh5JpVdM2TI6kO,https://api.spotify.com/v1/audio-analysis/0T1iRhYeTh5JpVdM2TI6kO,176000,1
I'm Coming Out,Diana Ross,1980-05-22,1980,80,3SnGymj6ijE2iuUfWxLo1q,0.72,0.828,5,-9.211,1,0.0462,0.185,0.429,0.0839,0.768,110.071,audio_features,spotify:track:3SnGymj6ijE2iuUfWxLo1q,https://api.spotify.com/v1/tracks/3SnGymj6ijE2iuUfWxLo1q,https://api.spotify.com/v1/audio-analysis/3SnGymj6ijE2iuUfWxLo1q,323347,4
Cut to the Feeling,Carly Rae Jepsen,2017-05-26,2017,10,6EJiVf7U0p1BBfs0qqeb1f,0.71,0.909,2,-2.777,1,0.0639,0.0135,0.00123,0.303,0.648,115.001,audio_features,spotify:track:6EJiVf7U0p1BBfs0qqeb1f,https://api.spotify.com/v1/tracks/6EJiVf7U0p1BBfs0qqeb1f,https://api.spotify.com/v1/audio-analysis/6EJiVf7U0p1BBfs0qqeb1f,207960,4
Groove Is in the Heart,Deee-Lite,1990,1990,90,2He3NOyqtLNE3RQPpeDdSb,0.694,0.881,1,-4.053,0,0.0701,0.0153,0.0196,0.0851,0.924,121.554,audio_features,spotify:track:2He3NOyqtLNE3RQPpeDdSb,https://api.spotify.com/v1/tracks/2He3NOyqtLNE3RQPpeDdSb,https://api.spotify.com/v1/audio-analysis/2He3NOyqtLNE3RQPpeDdSb,231787,4
New Attitude,Patti LaBelle,1996-01-01,1996,90,71DxDMPiElIeGgvJvtITXR,0.81,0.722,11,-7.101,0,0.0429,0.0877,0.000885,0.529,0.963,138.011,audio_features,spotify:track:71DxDMPiElIeGgvJvtITXR,https://api.spotify.com/v1/tracks/71DxDMPiElIeGgvJvtITXR,https://api.spotify.com/v1/audio-analysis/71DxDMPiElIeGgvJvtITXR,251160,4
The Best of Both Worlds,Hannah Montana,2006-01-01,2006,00,6Z0F3Mqj7tq1CBZo5qMlUg,0.676,0.861,1,-3.645,1,0.0501,0.0512,0.0,0.0613,0.681,124.031,audio_features,spotify:track:6Z0F3Mqj7tq1CBZo5qMlUg,https://api.spotify.com/v1/tracks/6Z0F3Mqj7tq1CBZo5qMlUg,https://api.spotify.com/v1/audio-analysis/6Z0F3Mqj7tq1CBZo5qMlUg,174120,3
No More Drama,Mary J. Blige,2001-01-01,2001,00,7nWsh14AHpnTzq1Xejz90U,0.653,0.837,6,-6.818,0,0.124,0.534,7.12e-05,0.0784,0.64,97.914,audio_features,spotify:track:7nWsh14AHpnTzq1Xejz90U,https://api.spotify.com/v1/tracks/7nWsh14AHpnTzq1Xejz90U,https://api.spotify.com/v1/audio-analysis/7nWsh14AHpnTzq1Xejz90U,326240,4
No Scrubs,TLC,1999-02-23,1999,90,1KGi9sZVMeszgZOWivFpxs,0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,audio_features,spotify:track:1KGi9sZVMeszgZOWivFpxs,https://api.spotify.com/v1/tracks/1KGi9sZVMeszgZOWivFpxs,https://api.spotify.com/v1/audio-analysis/1KGi9sZVMeszgZOWivFpxs,214400,4
Pride (A Deeper Love),Aretha Franklin,2006,2006,00,5AoTuHE5P5bvC7BBppYnja,0.744,0.611,0,-6.386,1,0.0333,0.0723,0.000532,0.0692,0.961,114.991,audio_features,spotify:track:5AoTuHE5P5bvC7BBppYnja,https://api.spotify.com/v1/tracks/5AoTuHE5P5bvC7BBppYnja,https://api.spotify.com/v1/audio-analysis/5AoTuHE5P5bvC7BBppYnja,142187,4
SOS,Rihanna,2006-04-10,2006,00,30cSNer6TV8x2utjULVeQ5,0.677,0.671,7,-4.905,1,0.0361,0.004,5.07e-05,0.413,0.527,137.046,audio_features,spotify:track:30cSNer6TV8x2utjULVeQ5,https://api.spotify.com/v1/tracks/30cSNer6TV8x2utjULVeQ5,https://api.spotify.com/v1/audio-analysis/30cSNer6TV8x2utjULVeQ5,238920,4
Bootylicious,Destiny's Child,2001-05-01,2001,00,41nT1Sp6ChR65FbsdLlFHW,0.84,0.835,1,-4.386,0,0.275,0.00281,1.11e-06,0.152,0.637,103.376,audio_features,spotify:track:41nT1Sp6ChR65FbsdLlFHW,https://api.spotify.com/v1/tracks/41nT1Sp6ChR65FbsdLlFHW,https://api.spotify.com/v1/audio-analysis/41nT1Sp6ChR65FbsdLlFHW,207907,4
