song,artist,album_release_date,release_year,release_decade,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,hot,cluster
Low Down,Lil Baby,2023-01-01,2023,20,5m0yZ33oOy0yYBtdTXuxQe,0.962,0.619,10,-5.562,0,0.405,0.0354,0.0,0.083,0.154,127.958,audio_features,spotify:track:5m0yZ33oOy0yYBtdTXuxQe,https://api.spotify.com/v1/tracks/5m0yZ33oOy0yYBtdTXuxQe,https://api.spotify.com/v1/audio-analysis/5m0yZ33oOy0yYBtdTXuxQe,144652,4,Yes,2
Human,Cody Johnson,2023-01-01,2023,20,36Rpz4MZQhGknLEmTmHr8v,0.4,0.647,2,-7.279,1,0.0337,0.176,5.79e-05,0.11,0.274,84.08,audio_features,spotify:track:5AihIu9yF3flkw1jFMyfwW,https://api.spotify.com/v1/tracks/5AihIu9yF3flkw1jFMyfwW,https://api.spotify.com/v1/audio-analysis/5AihIu9yF3flkw1jFMyfwW,221520,4,Yes,9
Ain't That Some,Morgan Wallen,2023-01-01,2023,20,7fQ3PYTYdu208fQ3JEm2U7,0.654,0.782,6,-5.773,0,0.0293,0.00279,3.51e-06,0.338,0.755,121.082,audio_features,spotify:track:3lkmvsCSeiJKzTolGOpVML,https://api.spotify.com/v1/tracks/3lkmvsCSeiJKzTolGOpVML,https://api.spotify.com/v1/audio-analysis/3lkmvsCSeiJKzTolGOpVML,157998,4,Yes,5
Religiously,Bailey Zimmerman,2023-01-01,2023,20,27tNWlhdAryQY04Gb2ZhUI,0.57,0.67,1,-6.519,1,0.0274,0.426,0.0,0.108,0.593,140.924,audio_features,spotify:track:0ec7EBr0mjWO6J7TRr09bN,https://api.spotify.com/v1/tracks/0ec7EBr0mjWO6J7TRr09bN,https://api.spotify.com/v1/audio-analysis/0ec7EBr0mjWO6J7TRr09bN,178723,4,Yes,3
ICU,Coco Jones,2023-01-01,2023,20,5vfp7FuFuFmHmCJ7lYbjUd,0.584,0.453,8,-6.682,1,0.0661,0.753,0.0,0.111,0.328,124.913,audio_features,spotify:track:58cMDjQSUdWJUgFmHxRhjt,https://api.spotify.com/v1/tracks/58cMDjQSUdWJUgFmHxRhjt,https://api.spotify.com/v1/audio-analysis/58cMDjQSUdWJUgFmHxRhjt,241624,3,Yes,6
Fight The Feeling,Rod Wave,2023-01-01,2023,20,0jFxJ1US3dmwQn7DJi269h,0.634,0.538,0,-9.213,1,0.0603,0.0514,0.0,0.099,0.152,168.029,audio_features,spotify:track:7l6nGz4gp6HGs5Cvmdeqe4,https://api.spotify.com/v1/tracks/7l6nGz4gp6HGs5Cvmdeqe4,https://api.spotify.com/v1/audio-analysis/7l6nGz4gp6HGs5Cvmdeqe4,160714,5,Yes,3
Red Ruby Da Sleeze,Nicki Minaj,2023-01-01,2023,20,5J1vxba3jtIW9s8fQdf0rh,0.696,0.733,1,-6.181,1,0.256,0.115,0.0,0.111,0.292,98.355,audio_features,spotify:track:4ZYAU4A2YBtlNdqOUtc7T2,https://api.spotify.com/v1/tracks/4ZYAU4A2YBtlNdqOUtc7T2,https://api.spotify.com/v1/audio-analysis/4ZYAU4A2YBtlNdqOUtc7T2,214445,4,Yes,2
Memory Lane,Old Dominion,2023-01-01,2023,20,1KMEDSIl2j1NwYa9mgvMyg,0.645,0.8,6,-4.272,1,0.0363,0.0189,1.12e-05,0.0858,0.375,118.977,audio_features,spotify:track:5kB6WithhB8Iv08EMNmAbt,https://api.spotify.com/v1/tracks/5kB6WithhB8Iv08EMNmAbt,https://api.spotify.com/v1/audio-analysis/5kB6WithhB8Iv08EMNmAbt,172480,4,Yes,9
Beso,Rosalia & Rauw Alejandro,2023-01-01,2023,20,52bz3fOCyr6GgkJQsLK9PM,0.681,0.395,5,-12.701,0,0.0401,0.495,0.857,0.139,0.287,95.001,audio_features,spotify:track:0mdFEQVa4eEM5BgIuR4GcQ,https://api.spotify.com/v1/tracks/0mdFEQVa4eEM5BgIuR4GcQ,https://api.spotify.com/v1/audio-analysis/0mdFEQVa4eEM5BgIuR4GcQ,196069,4,Yes,8
Fragil,Yahritza y Su Esencia x Grupo Frontera,2023-01-01,2023,20,12KUFSHFgT0XCoiSlvdQi4,0.605,0.726,6,-4.515,1,0.0309,0.365,0.0,0.112,0.393,149.918,audio_features,spotify:track:4JdSXF2p71cr8uCY3UiJM0,https://api.spotify.com/v1/tracks/4JdSXF2p71cr8uCY3UiJM0,https://api.spotify.com/v1/audio-analysis/4JdSXF2p71cr8uCY3UiJM0,160518,4,Yes,3
Que Vuelvas,Carin Leon X Grupo Frontera,2023-01-01,2023,20,6Um358vY92UBv5DloTRX9L,0.491,0.643,10,-4.309,1,0.0442,0.187,0.0,0.109,0.779,162.469,audio_features,spotify:track:6Um358vY92UBv5DloTRX9L,https://api.spotify.com/v1/tracks/6Um358vY92UBv5DloTRX9L,https://api.spotify.com/v1/audio-analysis/6Um358vY92UBv5DloTRX9L,169419,4,Yes,3
It Matters To Her,Scotty McCreery,2023-01-01,2023,20,4aSRUXfKuBbmje0eXNukuL,0.516,0.752,7,-5.09,1,0.0333,0.00528,3.78e-05,0.251,0.482,105.007,audio_features,spotify:track:4aSRUXfKuBbmje0eXNukuL,https://api.spotify.com/v1/tracks/4aSRUXfKuBbmje0eXNukuL,https://api.spotify.com/v1/audio-analysis/4aSRUXfKuBbmje0eXNukuL,171880,4,Yes,9
I Wrote The Book,Morgan Wallen,2023-01-01,2023,20,7phmBo7bB9I9YifAXqnlqV,0.692,0.808,2,-3.757,1,0.0396,0.0834,3.75e-05,0.0913,0.802,143.977,audio_features,spotify:track:7phmBo7bB9I9YifAXqnlqV,https://api.spotify.com/v1/tracks/7phmBo7bB9I9YifAXqnlqV,https://api.spotify.com/v1/audio-analysis/7phmBo7bB9I9YifAXqnlqV,181767,4,Yes,5
Trance,"Metro Boomin, Travis Scott & Young Thug",2023-01-01,2023,20,3iGxtTIbGtUJVMbnHyaPMM,0.571,0.549,1,-7.38,0,0.404,0.18,0.0,0.168,0.447,119.497,audio_features,spotify:track:5wG3HvLhF6Y5KTGlK0IW3J,https://api.spotify.com/v1/tracks/5wG3HvLhF6Y5KTGlK0IW3J,https://api.spotify.com/v1/audio-analysis/5wG3HvLhF6Y5KTGlK0IW3J,194787,4,Yes,2
Yandel 150,Yandel & Feid,2023-01-01,2023,20,2oiixB9QMIzhWaHGVlQx4g,0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,167.968,audio_features,spotify:track:2oiixB9QMIzhWaHGVlQx4g,https://api.spotify.com/v1/tracks/2oiixB9QMIzhWaHGVlQx4g,https://api.spotify.com/v1/audio-analysis/2oiixB9QMIzhWaHGVlQx4g,216148,4,Yes,3
Painting Pictures,Superstar Pride,2023-01-01,2023,20,7oLKoGzQVwjZ91AzCn560T,0.956,0.515,11,-9.962,0,0.337,0.305,0.0,0.156,0.69,119.937,audio_features,spotify:track:7oLKoGzQVwjZ91AzCn560T,https://api.spotify.com/v1/tracks/7oLKoGzQVwjZ91AzCn560T,https://api.spotify.com/v1/audio-analysis/7oLKoGzQVwjZ91AzCn560T,122070,4,Yes,2
Everything I Love,Morgan Wallen,2023-01-01,2023,20,03fs6oV5JAlbytRYf3371S,0.568,0.841,8,-3.802,1,0.0261,0.00514,0.000503,0.147,0.668,103.983,audio_features,spotify:track:03fs6oV5JAlbytRYf3371S,https://api.spotify.com/v1/tracks/03fs6oV5JAlbytRYf3371S,https://api.spotify.com/v1/audio-analysis/03fs6oV5JAlbytRYf3371S,187047,4,Yes,5
Ch y La Pizza,Fuerza Regida X Natanael Cano,2023-01-01,2023,20,0UbesRsX2TtiCeamOIVEkp,0.628,0.668,8,-2.722,1,0.117,0.329,0.0,0.139,0.845,148.746,audio_features,spotify:track:0UbesRsX2TtiCeamOIVEkp,https://api.spotify.com/v1/tracks/0UbesRsX2TtiCeamOIVEkp,https://api.spotify.com/v1/audio-analysis/0UbesRsX2TtiCeamOIVEkp,136913,3,Yes,3
Man Made A Bar,Morgan Wallen Featuring Eric Church,2023-01-01,2023,20,02QQXgeAghpU4smdM7l7We,0.498,0.764,4,-5.006,1,0.0309,0.123,3.07e-05,0.119,0.489,147.984,audio_features,spotify:track:73zawW1ttszLRgT9By826D,https://api.spotify.com/v1/tracks/73zawW1ttszLRgT9By826D,https://api.spotify.com/v1/audio-analysis/73zawW1ttszLRgT9By826D,191231,4,Yes,3
Waffle House,Jonas Brothers,2023-01-01,2023,20,5iE3eUH2WGCXcE2xr6DEmU,0.729,0.763,10,-4.407,1,0.0363,0.033,1e-06,0.192,0.864,126.002,audio_features,spotify:track:5iE3eUH2WGCXcE2xr6DEmU,https://api.spotify.com/v1/tracks/5iE3eUH2WGCXcE2xr6DEmU,https://api.spotify.com/v1/audio-analysis/5iE3eUH2WGCXcE2xr6DEmU,145441,4,Yes,5
Mejor Que Yo,"Anuel AA, Mambo Kingz & DJ Luian",2023-01-01,2023,20,1VsHc0qIeyjYOyvN5HIEQG,0.536,0.557,6,-6.869,0,0.473,0.305,5.75e-05,0.0981,0.826,175.047,audio_features,spotify:track:1wCt0YFssCs8jNtidUUpG1,https://api.spotify.com/v1/tracks/1wCt0YFssCs8jNtidUUpG1,https://api.spotify.com/v1/audio-analysis/1wCt0YFssCs8jNtidUUpG1,128182,4,Yes,2
In Ha Mood,Ice Spice,2023-01-01,2023,20,0yUaLqhsVsguBpoOPL4cO7,0.768,0.74,0,-6.595,1,0.336,0.696,6.81e-06,0.23,0.532,141.059,audio_features,spotify:track:0yUaLqhsVsguBpoOPL4cO7,https://api.spotify.com/v1/tracks/0yUaLqhsVsguBpoOPL4cO7,https://api.spotify.com/v1/audio-analysis/0yUaLqhsVsguBpoOPL4cO7,129362,4,Yes,2
Igualito A Mi Apa,Fuerza Regida & Peso Pluma,2023-01-01,2023,20,2WHctubxf8LzrGr62cLz3d,0.758,0.812,4,-3.272,0,0.0854,0.188,0.0,0.0564,0.795,144.908,audio_features,spotify:track:17js0w8GTkTUFGFM6PYvBd,https://api.spotify.com/v1/tracks/17js0w8GTkTUFGFM6PYvBd,https://api.spotify.com/v1/audio-analysis/17js0w8GTkTUFGFM6PYvBd,166821,4,Yes,5
Moonlight,Kali Uchis,2023-01-01,2023,20,5PHPENfE3RVmHGAA2A7Hfx,0.642,0.706,7,-6.872,0,0.052,0.518,0.0,0.25,0.896,136.851,audio_features,spotify:track:0JmnkIqdlnUzPaf8sqBRs3,https://api.spotify.com/v1/tracks/0JmnkIqdlnUzPaf8sqBRs3,https://api.spotify.com/v1/audio-analysis/0JmnkIqdlnUzPaf8sqBRs3,187723,4,Yes,5
Forever,Lil Baby Featuring Fridayy,2023-01-01,2023,20,4eHbdreAnSOrDDsFfc4Fpm,0.462,0.251,4,-12.072,0,0.159,0.414,0.0,0.201,0.137,89.705,audio_features,spotify:track:1T4k0sw0HldDg004Kw4Oct,https://api.spotify.com/v1/tracks/1T4k0sw0HldDg004Kw4Oct,https://api.spotify.com/v1/audio-analysis/1T4k0sw0HldDg004Kw4Oct,167977,3,Yes,6
"You, Me, & Whiskey",Justin Moore & Priscilla Block,2023-01-01,2023,20,2BLlpdGCv0IErmH3OBGHYJ,0.555,0.88,0,-4.351,0,0.0535,0.0803,0.0,0.174,0.422,144.076,audio_features,spotify:track:2BLlpdGCv0IErmH3OBGHYJ,https://api.spotify.com/v1/tracks/2BLlpdGCv0IErmH3OBGHYJ,https://api.spotify.com/v1/audio-analysis/2BLlpdGCv0IErmH3OBGHYJ,187941,4,Yes,3
Sunrise,Morgan Wallen,2023-01-01,2023,20,4W4kAu3nU0Zp8WH7owpjbn,0.613,0.765,2,-5.058,0,0.0318,0.259,4.28e-06,0.0832,0.343,139.993,audio_features,spotify:track:0JtgoDDf0ggWaoXCGhcOoT,https://api.spotify.com/v1/tracks/0JtgoDDf0ggWaoXCGhcOoT,https://api.spotify.com/v1/audio-analysis/0JtgoDDf0ggWaoXCGhcOoT,182522,4,Yes,3
Mathematical Disrespect,Lil Mabu,2023-01-01,2023,20,7wuJGgpTNzbUyn26IOY6rj,0.795,0.507,1,-8.06,1,0.303,0.0612,0.0,0.272,0.48,146.771,audio_features,spotify:track:0Ymjv0OJeIIPXr6s9wi3iW,https://api.spotify.com/v1/tracks/0Ymjv0OJeIIPXr6s9wi3iW,https://api.spotify.com/v1/audio-analysis/0Ymjv0OJeIIPXr6s9wi3iW,88304,4,Yes,2
Ceilings,Lizzy McAlpine,2023-01-01,2023,20,6I9VzXrHxO9rA9A5euc8Ak,0.516,0.322,9,-11.762,1,0.0292,0.473,0.00194,0.215,0.261,148.005,audio_features,spotify:track:2L9N0zZnd37dwF0clgxMGI,https://api.spotify.com/v1/tracks/2L9N0zZnd37dwF0clgxMGI,https://api.spotify.com/v1/audio-analysis/2L9N0zZnd37dwF0clgxMGI,182888,3,Yes,6
Shake Sumn,DaBaby,2023-01-01,2023,20,3FhZPYvMGSjFc6boVYKlCv,0.783,0.768,11,-8.471,0,0.157,0.00198,0.0,0.171,0.267,143.071,audio_features,spotify:track:3FhZPYvMGSjFc6boVYKlCv,https://api.spotify.com/v1/tracks/3FhZPYvMGSjFc6boVYKlCv,https://api.spotify.com/v1/audio-analysis/3FhZPYvMGSjFc6boVYKlCv,124806,4,Yes,9
People,Libianca,2023-01-01,2023,20,0XoKVwY8PLErqAeZVp5kdU,0.573,0.422,10,-7.621,0,0.0678,0.551,1.31e-05,0.102,0.693,124.357,audio_features,spotify:track:26b3oVLrRUaaybJulow9kz,https://api.spotify.com/v1/tracks/26b3oVLrRUaaybJulow9kz,https://api.spotify.com/v1/audio-analysis/26b3oVLrRUaaybJulow9kz,184791,5,Yes,6
Never Felt So Alone,Labrinth,2023-01-01,2023,20,6unndO70DvZfnXYcYQMyQJ,0.436,0.409,5,-4.438,1,0.0533,0.499,0.000166,0.38,0.363,98.357,audio_features,spotify:track:2NbsBSshscKIPRG3kwBbfo,https://api.spotify.com/v1/tracks/2NbsBSshscKIPRG3kwBbfo,https://api.spotify.com/v1/audio-analysis/2NbsBSshscKIPRG3kwBbfo,160166,3,Yes,6
Happy,NF,2023-01-01,2023,20,5fdhThPDe6jQQDqCyWrdAn,0.732,0.855,7,-4.064,1,0.0415,0.306,0.0,0.12,0.221,106.004,audio_features,spotify:track:3ZEno9fORwMA1HPecdLi0R,https://api.spotify.com/v1/tracks/3ZEno9fORwMA1HPecdLi0R,https://api.spotify.com/v1/audio-analysis/3ZEno9fORwMA1HPecdLi0R,242691,4,Yes,9
Wreckage,Nate Smith,2023-01-01,2023,20,33hQJTNI0T2FHVtku3smJf,0.551,0.214,10,-9.827,1,0.0314,0.909,1.18e-06,0.0921,0.102,72.498,audio_features,spotify:track:5zHB9D7aOex9INWtPJt1Kb,https://api.spotify.com/v1/tracks/5zHB9D7aOex9INWtPJt1Kb,https://api.spotify.com/v1/audio-analysis/5zHB9D7aOex9INWtPJt1Kb,211773,4,Yes,6
Curtains,Ed Sheeran,2023-01-01,2023,20,3TCauNPqFiniaYHBvEVoHG,0.5,0.757,6,-6.542,0,0.0522,0.0989,2.5e-06,0.324,0.443,175.944,audio_features,spotify:track:6ZZf5a8oiInHDkBe9zXfLP,https://api.spotify.com/v1/tracks/6ZZf5a8oiInHDkBe9zXfLP,https://api.spotify.com/v1/audio-analysis/6ZZf5a8oiInHDkBe9zXfLP,224888,4,Yes,3
What It Is (Block Boy),Doechii Featuring Kodak Black,2023-01-01,2023,20,1O8zCu3dLLPxkbGfIsbRgE,0.731,0.744,1,-5.77,0,0.174,0.109,0.0,0.123,0.727,171.859,audio_features,spotify:track:1O8zCu3dLLPxkbGfIsbRgE,https://api.spotify.com/v1/tracks/1O8zCu3dLLPxkbGfIsbRgE,https://api.spotify.com/v1/audio-analysis/1O8zCu3dLLPxkbGfIsbRgE,223344,4,Yes,3
Peaches,Jack Black,2023-01-01,2023,20,3mVZRgQqVNu01Z3nXemulI,0.539,0.731,0,-9.048,1,0.0512,0.263,1.3e-06,0.103,0.253,124.927,audio_features,spotify:track:1tSFczGtyEUyylxb3UX5Eh,https://api.spotify.com/v1/tracks/1tSFczGtyEUyylxb3UX5Eh,https://api.spotify.com/v1/audio-analysis/1tSFczGtyEUyylxb3UX5Eh,208783,4,Yes,9
Private Landing,Don Toliver Featuring Justin Bieber & Future,2023-01-01,2023,20,5PHPENfE3RVmHGAA2A7Hfx,0.843,0.669,1,-4.105,0,0.0639,0.0846,1.28e-05,0.105,0.435,136.979,audio_features,spotify:track:52NGJPcLUzQq5w7uv4e5gf,https://api.spotify.com/v1/tracks/52NGJPcLUzQq5w7uv4e5gf,https://api.spotify.com/v1/audio-analysis/52NGJPcLUzQq5w7uv4e5gf,238253,4,Yes,5
Supermodel (You Better Work),RuPaul,1993-06-08,1993,90,36Rpz4MZQhGknLEmTmHr8v,0.792,0.562,7,-11.379,1,0.0929,0.0152,7.53e-05,0.428,0.592,126.221,audio_features,spotify:track:36Rpz4MZQhGknLEmTmHr8v,https://api.spotify.com/v1/tracks/36Rpz4MZQhGknLEmTmHr8v,https://api.spotify.com/v1/audio-analysis/36Rpz4MZQhGknLEmTmHr8v,239933,4,No,4
We Break the Dawn,Michelle Williams,2008-04-15,2008,00,01drW5lmrI1SWrSkDzivsj,0.708,0.635,4,-5.304,0,0.0389,0.0324,0.000495,0.109,0.387,110.978,audio_features,spotify:track:01drW5lmrI1SWrSkDzivsj,https://api.spotify.com/v1/tracks/01drW5lmrI1SWrSkDzivsj,https://api.spotify.com/v1/audio-analysis/01drW5lmrI1SWrSkDzivsj,236147,4,No,9
The Greatest Love of All,Whitney Houston,1985-02-14,1985,80,6yJxCltgtmGxIgKOS6ndnu,0.502,0.305,9,-16.011,1,0.0339,0.484,3.55e-06,0.117,0.248,131.242,audio_features,spotify:track:6yJxCltgtmGxIgKOS6ndnu,https://api.spotify.com/v1/tracks/6yJxCltgtmGxIgKOS6ndnu,https://api.spotify.com/v1/audio-analysis/6yJxCltgtmGxIgKOS6ndnu,291400,4,No,0
Would I Lie to You?,Eurythmics,1985-04-29,1985,80,1lJZSsMoWEbrgaY6CxPMf8,0.613,0.912,2,-4.638,1,0.0328,0.0378,3.65e-05,0.52,0.733,131.968,audio_features,spotify:track:1lJZSsMoWEbrgaY6CxPMf8,https://api.spotify.com/v1/tracks/1lJZSsMoWEbrgaY6CxPMf8,https://api.spotify.com/v1/audio-analysis/1lJZSsMoWEbrgaY6CxPMf8,268240,4,No,10
Stronger,Britney Spears,2000-05-16,2000,00,5QhBKPqsnX1uY9fZNaAtZg,0.707,0.923,11,-3.957,1,0.0521,0.128,0.000437,0.273,0.842,108.049,audio_features,spotify:track:5QhBKPqsnX1uY9fZNaAtZg,https://api.spotify.com/v1/tracks/5QhBKPqsnX1uY9fZNaAtZg,https://api.spotify.com/v1/audio-analysis/5QhBKPqsnX1uY9fZNaAtZg,203000,4,No,5
Shackles (Praise You),Mary Mary,2000,2000,00,7JKEA8xYDoFp4q0QBW2PGg,0.779,0.834,7,-2.773,1,0.162,0.0343,0.0,0.0886,0.8,100.46,audio_features,spotify:track:7JKEA8xYDoFp4q0QBW2PGg,https://api.spotify.com/v1/tracks/7JKEA8xYDoFp4q0QBW2PGg,https://api.spotify.com/v1/audio-analysis/7JKEA8xYDoFp4q0QBW2PGg,198347,4,No,5
Cover Girl (Put the Bass in Your Walk),RuPaul,2009-04-07,2009,00,1mI23ynlBTWed9Xh5T4G5e,0.907,0.779,6,-4.369,0,0.0957,0.00745,9.47e-06,0.611,0.761,127.978,audio_features,spotify:track:1mI23ynlBTWed9Xh5T4G5e,https://api.spotify.com/v1/tracks/1mI23ynlBTWed9Xh5T4G5e,https://api.spotify.com/v1/audio-analysis/1mI23ynlBTWed9Xh5T4G5e,183013,4,No,1
Jealous of My Boogie (Gomi and RasJek Edit),RuPaul,2009-06-30,2009,00,7Co4d4AL8o5hUIN1vnqQz0,0.821,0.656,2,-5.647,0,0.0483,0.00531,0.0,0.29,0.789,124.963,audio_features,spotify:track:7Co4d4AL8o5hUIN1vnqQz0,https://api.spotify.com/v1/tracks/7Co4d4AL8o5hUIN1vnqQz0,https://api.spotify.com/v1/audio-analysis/7Co4d4AL8o5hUIN1vnqQz0,217800,4,No,5
My Lovin' (You're Never Gonna Get It),En Vogue,1992-03-24,1992,90,3R97rNX7JnmshCWBwOSFet,0.767,0.839,8,-5.519,1,0.0613,0.0318,9.31e-06,0.111,0.461,98.055,audio_features,spotify:track:3R97rNX7JnmshCWBwOSFet,https://api.spotify.com/v1/tracks/3R97rNX7JnmshCWBwOSFet,https://api.spotify.com/v1/audio-analysis/3R97rNX7JnmshCWBwOSFet,281613,4,No,10
I Hear You Knocking,Wynonna Judd,2009-02-03,2009,00,1LFvcyg3bpq7AffqwuZ13K,0.685,0.933,9,-3.935,1,0.0472,0.0558,8.04e-06,0.276,0.562,108.047,audio_features,spotify:track:1LFvcyg3bpq7AffqwuZ13K,https://api.spotify.com/v1/tracks/1LFvcyg3bpq7AffqwuZ13K,https://api.spotify.com/v1/audio-analysis/1LFvcyg3bpq7AffqwuZ13K,175600,4,No,5
Two of Hearts,Stacey Q,1986-08-18,1986,80,2dURQIBrw3XcHyVZlfdpC1,0.824,0.506,5,-7.12,0,0.0291,0.124,0.0,0.113,0.654,130.717,audio_features,spotify:track:2dURQIBrw3XcHyVZlfdpC1,https://api.spotify.com/v1/tracks/2dURQIBrw3XcHyVZlfdpC1,https://api.spotify.com/v1/audio-analysis/2dURQIBrw3XcHyVZlfdpC1,239693,4,No,4
Carry On,Martha Wash,1992-11-01,1992,90,2yZax79pOrYuyIFVW2cZY2,0.735,0.197,3,-13.378,0,0.537,0.768,0.000276,0.296,0.383,147.899,audio_features,spotify:track:2yZax79pOrYuyIFVW2cZY2,https://api.spotify.com/v1/tracks/2yZax79pOrYuyIFVW2cZY2,https://api.spotify.com/v1/audio-analysis/2yZax79pOrYuyIFVW2cZY2,129720,4,No,0
Black Velvet,Alannah Myles,1989-03-14,1989,80,1KU5EHSz04JhGg3rReGJ0N,0.754,0.366,8,-10.07,1,0.0312,0.273,9.04e-05,0.106,0.469,91.147,audio_features,spotify:track:1KU5EHSz04JhGg3rReGJ0N,https://api.spotify.com/v1/tracks/1KU5EHSz04JhGg3rReGJ0N,https://api.spotify.com/v1/audio-analysis/1KU5EHSz04JhGg3rReGJ0N,287440,4,No,4
He's the Greatest Dancer,Sister Sledge,1979-02-15,1979,70,5WwRKYnVy9dekqXAGPbAvU,0.7,0.816,7,-9.711,0,0.044,0.00115,0.00123,0.0901,0.838,113.244,audio_features,spotify:track:5WwRKYnVy9dekqXAGPbAvU,https://api.spotify.com/v1/tracks/5WwRKYnVy9dekqXAGPbAvU,https://api.spotify.com/v1/audio-analysis/5WwRKYnVy9dekqXAGPbAvU,375400,4,No,4
Shake Your Love,Debbie Gibson,1987,1987,80,6gM3uxq9TPkms83bTSlK10,0.784,0.746,11,-10.681,0,0.0477,0.405,0.0,0.0568,0.83,120.55,audio_features,spotify:track:6gM3uxq9TPkms83bTSlK10,https://api.spotify.com/v1/tracks/6gM3uxq9TPkms83bTSlK10,https://api.spotify.com/v1/audio-analysis/6gM3uxq9TPkms83bTSlK10,222933,4,No,4
Something He Can Feel,Aretha Franklin,1976,1976,70,4IOtu2nO8Us3kPtEZmUr0k,0.613,0.393,0,-13.305,1,0.0442,0.224,0.0,0.45,0.64,107.72,audio_features,spotify:track:4IOtu2nO8Us3kPtEZmUr0k,https://api.spotify.com/v1/tracks/4IOtu2nO8Us3kPtEZmUr0k,https://api.spotify.com/v1/audio-analysis/4IOtu2nO8Us3kPtEZmUr0k,381827,3,No,0
Believe,Cher,1998,1998,90,2goLsvvODILDzeeiT4dAoR,0.652,0.917,6,-6.72,1,0.0548,0.0082,0.0,0.0509,0.459,132.975,audio_features,spotify:track:2goLsvvODILDzeeiT4dAoR,https://api.spotify.com/v1/tracks/2goLsvvODILDzeeiT4dAoR,https://api.spotify.com/v1/audio-analysis/2goLsvvODILDzeeiT4dAoR,239027,4,No,10
Even Angels,Fantasia,2010-08-20,2010,10,0ZgU5iu6Hzw8eqHkO18cEH,0.536,0.712,4,-8.568,0,0.0692,0.0151,0.0,0.0476,0.304,157.558,audio_features,spotify:track:0ZgU5iu6Hzw8eqHkO18cEH,https://api.spotify.com/v1/tracks/0ZgU5iu6Hzw8eqHkO18cEH,https://api.spotify.com/v1/audio-analysis/0ZgU5iu6Hzw8eqHkO18cEH,173467,4,No,3
Straight Up,Paula Abdul,1988-01-01,1988,80,5xl5582IihbEZAnfj0xyso,0.769,0.826,7,-8.252,1,0.0624,0.267,0.0177,0.0638,0.762,95.862,audio_features,spotify:track:5xl5582IihbEZAnfj0xyso,https://api.spotify.com/v1/tracks/5xl5582IihbEZAnfj0xyso,https://api.spotify.com/v1/audio-analysis/5xl5582IihbEZAnfj0xyso,250032,4,No,4
I Think About You,Patti LaBelle,1977-02-01,1977,70,2fH13RdhsEIc11X0o9enUX,0.544,0.371,4,-10.991,1,0.0388,0.861,0.000463,0.069,0.145,132.972,audio_features,spotify:track:2fH13RdhsEIc11X0o9enUX,https://api.spotify.com/v1/tracks/2fH13RdhsEIc11X0o9enUX,https://api.spotify.com/v1/audio-analysis/2fH13RdhsEIc11X0o9enUX,286653,4,No,0
Champion (DJ BunJoe's Olympic Mix),RuPaul,2010-03-30,2010,10,4OqiUe0PIAYoEj3cWTNRnJ,0.706,0.83,1,-5.15,0,0.0469,0.00481,0.0,0.0457,0.726,130.016,audio_features,spotify:track:4OqiUe0PIAYoEj3cWTNRnJ,https://api.spotify.com/v1/tracks/4OqiUe0PIAYoEj3cWTNRnJ,https://api.spotify.com/v1/audio-analysis/4OqiUe0PIAYoEj3cWTNRnJ,221773,4,No,5
The Right Stuff,Vanessa Williams,1988-01-01,1988,80,4XOq7frultDFgx4l3wuRPc,0.8,0.66,11,-11.164,0,0.0568,0.0637,0.0105,0.0352,0.576,112.592,audio_features,spotify:track:4XOq7frultDFgx4l3wuRPc,https://api.spotify.com/v1/tracks/4XOq7frultDFgx4l3wuRPc,https://api.spotify.com/v1/audio-analysis/4XOq7frultDFgx4l3wuRPc,267173,4,No,4
Bad Romance,Lady Gaga,2009-11-05,2009,00,0SiywuOBRcynK0uKGWdCnn,0.696,0.921,0,-3.755,1,0.0363,0.00314,5.24e-05,0.0842,0.714,119.001,audio_features,spotify:track:0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/tracks/0SiywuOBRcynK0uKGWdCnn,https://api.spotify.com/v1/audio-analysis/0SiywuOBRcynK0uKGWdCnn,294573,4,No,5
Don't Leave Me This Way,Thelma Houston,1998-01-01,1998,90,2rBBhFXtuMoGuwYTSDpAdF,0.553,0.839,0,-5.844,0,0.116,0.153,6e-05,0.13,0.673,121.819,audio_features,spotify:track:2rBBhFXtuMoGuwYTSDpAdF,https://api.spotify.com/v1/tracks/2rBBhFXtuMoGuwYTSDpAdF,https://api.spotify.com/v1/audio-analysis/2rBBhFXtuMoGuwYTSDpAdF,217733,4,No,10
Meeting in the Ladies Room,Klymaxx,1984-01-01,1984,80,7biZkUtLEtXTfNvkghY0Ei,0.823,0.791,11,-8.92,0,0.0506,0.0937,0.588,0.0547,0.965,127.971,audio_features,spotify:track:7biZkUtLEtXTfNvkghY0Ei,https://api.spotify.com/v1/tracks/7biZkUtLEtXTfNvkghY0Ei,https://api.spotify.com/v1/audio-analysis/7biZkUtLEtXTfNvkghY0Ei,315440,4,No,7
