song,artist,album_release_date
Water Me,Lizzo,2019-04-17
Love Don't Cost a Thing,Jennifer Lopez,2001-01-23
Radio,Beyoncé,2008-11-14
Swept Away,Diana Ross,1984-09-13
Don't Let Go (Love),En Vogue,1997-06-17
Never Too Much,Luther Vandross,1981-07-23
Respect,Aretha Franklin,1967-03-10
Heartbreak Hotel (Hex Hector Remix),"Whitney Houston ft. Faith Evans, Kelly Price",2006-07-04
Good 4 U,Olivia Rodrigo,2021-05-21
Telephone,Lady Gaga ft. Beyoncé,2009-08-05
Gimme! Gimme! Gimme! (A Man After Midnight),Cher,2018-08-09
Fallin',Alicia Keys,2001-06-05
I Love It,Kylie Minogue,2020-11-06
Play,Jennifer Lopez,2001-01-23
My Head & My Heart,Ava Max,2020-09-18
Suga Mama,Beyoncé,2006-09-04
One Way or Another,Blondie,1978-09-23
Un-Break My Heart (Hex Hector Remix),Toni Braxton,2005-04-12
Something's Got a Hold on Me,Etta James,2011-10-18
รักยังไม่ต้องการ (I Don't Want Love Yet),Marsha Vadhanapanich,NA
O.K.นะคะ (O.K. Yes),Katreeya English,NA
Dhoom Dhoom,Tata Young,2004-07-16
เพลงสุดท้าย (Last Song),Suda Chuenban,NA
Crazy in Love,Beyoncé ft. Jay-Z,2003-06-24
Born Naked,RuPaul,2014-02-24
This Is Me,Keala Settle,2017-12-08
Last Dance,Selena,2017-01-17
I Will Survive หมอลำ (I Will Survive Mor Lam),Saisunee Sukkrit,NA
ขอใจเธอแลกเบอร์โทร (Your Heart for My Number),Yinglee Srijumpol,NA
จดหมายจากเมียเช่า (A Letter from a Wife),Mani Maniwan,NA
สุดฤทธิ์สุดเดช (Suprit Suddet),Mai Charoenpura,NA
เจ็บนิด...นิด (It Hurts a Little... a Little),Rhatha Phongam,NA
กินจุ๊บจิ๊บ (Eat Kiss Jib),Pornchita na Songkhla,NA
Lady Marmalade,"Christina Aguilera, Lil' Kim, Mýa, Pink",2001-01-01
หางเครื่อง (Dancer),Sukanya Nakpradit,NA
New Rules,Dua Lipa,2017-06-02
Venus,Bananarama,1986-01-01
Spice Up Your Life,Spice Girls,1997-01-01
Power,Little Mix,2016-11-18
Call My Name (Wideboys Remix),Cheryl,NA
Tears Dry on Their Own,Amy Winehouse,2006
I'm Your Man,Wham!,1986-11-25
Relax,Frankie Goes to Hollywood,1984-10-20
I'm Still Standing,Elton John,1983-05-30
Memory,Elaine Paige,1983
Don't Start Now,Dua Lipa,2020-03-27
You Keep Me Hangin' On,Kim Wilde,1986
Don't Leave Me This Way,The Communards,1986-01-01
Touch Me (All Night Long),Cathy Dennis,1990-08-14
Don't Be So Hard on Yourself,Jess Glynne,2015
You Don't Have to Say You Love Me,Dusty Springfield,1966-07
Last Thing on My Mind,Steps,1998-09-14
Sweet Melody,Little Mix,2020-11-06
Total Eclipse of the Heart,Bonnie Tyler,2009-03-26
You Don't Own Me,(Dusty Springfield,1964-06-26
Moving on Up,M People,1998-10-29
I've Got the Music in Me,The Kiki Dee Band,2010-08-01
Who Do You Think You Are,Spice Girls,1996-01-01
Big Spender,Shirley Bassey,1988-05-23
Shout,Lulu and The Luvvers,1994-01-01
Scandalous,(Mis-Teeq,2004-07-13
Something New,Girls Aloud,2012-01-01
Hallucinate,Dua Lipa,2022-07-08
I Really Like You,Carly Rae Jepsen,2015
You're a Superstar,Love Inc.,2015-09-04
If You Could Read My Mind,"Ultra Naté, Amber, Jocelyn Enriquez",1998-07-16
Absolutely Not (Chanel Club Mix),Deborah Cox,2002-09-02
Girlfriend,Avril Lavigne,2007-04-17
I Drove All Night,Céline Dion,2003-03-25
Scars to Your Beautiful,Alessia Cara,2015-11-13
Hello,Allie X,2015-12-04
You Oughta Know,Alanis Morissette,1995
Closer,Tegan and Sara,2013
Maneater,Nelly Furtado,2006-01-01
It's All Coming Back to Me Now,Céline Dion,1996-02-28
Stupid Shit,Girlicious,NA
Ghost,Fefe Dobson,2010-01-01
Happiness,KAPRI,2021-10-10
I Love Myself Today,Bif Naked,2001
Heaven,"DJ Sammy, Yanou ft. Do",2013-05-10
Get Down,B4-4,2000
Everybody Say Love,Mitsou,1993-01-01
Main Event,RuPaul,2009-04-07
"Why Tell Me, Why",Anita Meyer,2013-02-15
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,1987-06-02
Girl,Anouk,2004-10-25
9 to 5,Dolly Parton,1980
Physical,Dua Lipa,2022-07-08
Don't Leave Me This Way,(Thelma Houston,1998-01-01
It's All Coming Back to Me Now,Celine Dion,1996-02-28
Free Your Mind,En Vogue,1992-03-24
Lekker met de meiden,Merol [nl],NA
Don't Stop Me Now,Queen,1978-11-10
This is My Life,Shirley Bassey,1988-05-23
Tragedy,Bee Gees,1979-02-05
I'm That Bitch,RuPaul,2020-02-29
Shake Your Groove Thing,Peaches & Herb,1978-01-01
I Begin to Wonder,Dannii Minogue,2003-01-01
Absolutely Everybody,Vanessa Amorosi,2001-01-01
Better the Devil You Know,Kylie Minogue,1990-11-12
Untouched,The Veronicas,2007-10-30
Physical,Olivia Newton-John,1981
Sobreviviré,Mónica Naranjo,1994
Veneno pa tu piel,La Veneno,1996-08-30
Mocatriz,Ojete Calor,2019-02-08
Pussy,Bad Gyal,2021-03-04
Espectacular,Fangoria,2017-02-17
Aute Cuture,Rosalía,2019-05-30
Cuando tú vas,Chenoa,2020-11-20
La gata bajo la lluvia,Rocío Dúrcal,1983-03-05
Todos me miran,Gloria Trevi,2006-01-01
Ni tú ni nadie,Alaska y Dinarama,1984-05-29
Yo quiero bailar,Sonia & Selena,2001-01-01
Un año de amor,Luz Casal,1991
Baloncesto,La Prohibida,2015-06-09
Arrasando,Thalía,2000-01-01
Se nos rompió el amor,Rocío Jurado,1998
Qué dolor,Raffaella Carrà,1982
Fuego,Eleni Foureira,2018-05-19
El Anillo,Jennifer Lopez,2018-04-26
Occhi di gatto,Cristina D'Avena,2003-01-01
Comprami,Viola Valentino,2005-11-28
Fiesta (Spanish version),Raffaella Carrà,2022-03-11
Kobra,Donatella Rettore,1980-02-13
Champion,RuPaul,2009-04-07
Cicale,Heather Parisi,1991-10-18
Non sono una signora,Loredana Bertè,1982-09-20
Opposites Attract,Paula Abdul,1988-01-01
There's No Business Like Show Business,Ethel Merman,1946-01-01
Don't Cha,The Pussycat Dolls ft. Busta Rhymes,2005-01-01
Dancing on My Own,Robyn,2010-01-01
Responsitrannity (Matt Pop Remix),RuPaul,NA
Shake It Off,Taylor Swift,2014-10-27
Le Freak,Chic,1978-08-11
Tell It to My Heart,Taylor Dayne,1988-01-19
Got to Be Real,Cheryl Lynn,1978-07-17
Shut Up and Drive,Rihanna,2008-06-02
Cherry Bomb,Joan Jett & The Blackhearts,1984-10-01
Step It Up,RuPaul ft. Dave Audé,2015-03-02
If I Were Your Woman,Gladys Knight & the Pips,1971-01-01
Anaconda,Nicki Minaj,2014-12-15
Jump (For My Love),The Pointer Sisters,1983-11-06
Green Light,Lorde,2017-06-16
I Kissed a Girl,Katy Perry,2008-06-17
The Boss,Diana Ross,1979-05-23
Nobody's Supposed to Be Here (Hex Hector Dance Mix),Deborah Cox,1998-09-17
Freaky Money,RuPaul ft. Big Freedia,2014-02-24
Wrecking Ball,Miley Cyrus,2013-10-04
Emotions,Mariah Carey,1991-09-17
Into You,Ariana Grande,2016-05-20
How Will I Know,Whitney Houston,2021-09-24
The Bitch Is Back,Tina Turner,NA
Jump to It,Aretha Franklin,1982-05-01
Kitty Girl,RuPaul,2018-03-16
Adrenaline,RuPaul ft. Myah Marie,2014-02-24
Peanut Butter,RuPaul ft. Big Freedia,2012-06-05
You Spin Me Round (Like a Record),Dead or Alive,1983
Come Rain or Come Shine,Judy Garland,1956
When I Think of You,Janet Jackson,1986-02-04
Fighter,Christina Aguilera,2002-07-19
Livin' la Vida Loca,Ricky Martin,1999
Neutron Dance,The Pointer Sisters,1983-04-01
Juice,Lizzo,2019-04-19
Where Have You Been,Rihanna,2011-11-18
Open Your Heart,Madonna,2009-09-18
One Last Time,Ariana Grande,2014-08-25
Fancy,Reba McEntire,1990-01-01
Make Me Feel,Janelle Monáe,2018-04-27
Uptown Funk,Mark Ronson ft. Bruno Mars,2015-01-12
Miss You Much,Janet Jackson,1989-09-19
Womanizer,Britney Spears,2008-12-02
Phone,Lizzo,2016-09-16
Dirrty,Christina Aguilera ft. Redman,2002-07-19
Dance Again,Jennifer Lopez ft. Pitbull,2012-07-20
Sugar Walls,Sheena Easton,1984
Boom Clap,Charli XCX,2014-12-15
Since U Been Gone,Kelly Clarkson,2004-01-17
Heartbreaker,Pat Benatar,1979-01-01
Girls Just Want to Have Fun,Cyndi Lauper,1983-10-14
Focus,Ariana Grande,2015-10-30
Song for the Lonely,Cher,2001
Barbie Girl,Aqua,1997-01-01
"Good Golly, Miss Molly",Little Richard,1969-01-01
Stupid Love,Lady Gaga,2020-05-29
Say You'll Be There,Spice Girls,1996-01-01
Supermodel (You Better Work) (El Lay Toya Jam),RuPaul,2006-05-26
We Like to Party! (The Vengabus),Vengaboys,1999-06-04
Let It Go,Alexandra Burke,2012-06-04
Toy,Netta,2018-05-23
Domino,Jessie J,2011-01-01
The Reflex,Duran Duran,1983-11-21
Supernova,Kylie Minogue,2020-11-06
